"SECTION" "NODES" "color" "thickness" "label" "label-color" "label-size" "label-font" "label-offset" "Legend" "LegendLabel" "Icon" "Size" "omScale" "ToScale"    
"COMMENT" "VERY HIGH ZOOM"                 
"highway" "bus_stop" "black" 0 "name" "black" 16 "sans-serif" 16 0 "none" "icons-topo/haltestelle-64.png" 32 0 25000    
"tourism" "information" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/information-48.png" 32 0 25000    
"power" "tower" "black" 0 "none" "black" 10 "sans-serif" 0 0 "none" "icons-topo/mast-40.png" 20 0 25000    
"COMMENT"                  
"amenity|fireplace" "shelter|yes" "red" 0 "name!ele" "red" 16 "sans-serif" 16 0 "none" "icons-topo/shelter-fire-64.png" 32 0 50000    
"amenity" "shelter" "red" 0 "name!ele" "red" 16 "sans-serif" 16 0 "none" "icons-topo/shelter-64.png" 32 0 50000    
"amenity" "restaurant" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/restaurant-64.png" 32 0 50000    
"amenity" "fast_food" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/imbiss-64.png" 32 0 50000    
"amenity" "cafe" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/cafe-64.png" 32 0 50000    
"amenity" "pub" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/gaststaette-64.png" 32 0 50000    
"amenity" "kiosk" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/kiosk.png" 32 0 50000    
"amenity" "biergarten" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/biergarten-64.png" 32 0 50000    
"amenity" "bank" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/bank-64.png" 32 0 50000    
"historic" "wayside_cross" "black" 0 "none" "black" 10 "sans-serif" 0 0 "none" "icons-topo/kreuz-40.png" 20 0 50000    
"historic" "wayside_shrine" "black" 0 "none" "black" 10 "sans-serif" 0 0 "none" "icons-topo/schrein-40.png" 20 0 50000    
"amenity" "place_of_worship" "black" 0 "none" "black" 10 "sans-serif" 0 0 "none" "icons-topo/kirche-64.png" 32 0 100000    
"amenity" "fuel" "black" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/tankstelle-64.png" 32 0 50000    
"amenity" "drinking_water" "black" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/trinkwasser-56.png" 28 0 50000    
"tourism" "hotel" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/hotel-68.png" 34 0 75000    
"tourism" "hostel" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/jugendherberge-64.png" 32 0 75000    
"tourism" "camp_site" "red" 0 "none" "red" 10 "sans-serif" 0 0 "none" "icons-topo/camping.png" 32 0 50000    
"tourism" "viewpoint" "red" 0 "name!ele" "red" 16 "sans-serif" 16 0 "none" "icons-topo/aussicht-64.png" 32 0 50000    
"natural" "peak" "black" 0 "name!ele" "black" 16 "sans-serif" 16 0 "none" "icons-topo/gipfel-20.png" 20 0 100000    
"natural" "tree" "black" 0 "name" "black" 16 "sans-serif" 0 0 "none" "icons-topo/baum-64.png" 32 0 50000    
"natural" "cave_entrance" "black" 0 "name" "black" 16 "sans-serif" 0 0 "none" "icons-topo/hoehle-64.png" 32 0 50000    
"historic" "archaeological_site" "black" 0 "name" "black" 16 "sans-serif" 0 0 "none" "icons-topo/arch-64.png" 32 0 50000    
"natural" "spring" "blue" 0 "name" "blue" 16 "sans-serif" 0 0 "none" "icons-topo/quelle-64.png" 32 0 50000    
"man_made" "communications_tower" "black" 0 "name!height" "black" 16 "sans-serif" 0 0 "none" "icons-topo/funkturm-64.png" 32 0 100000    
"man_made" "tower" "black" 0 "name!height" "black" 16 "sans-serif" 0 0 "none" "icons-topo/turm-64.png" 32 0 100000    
"historic" "ruins" "black" 0 "name!ele" "red" 16 "sans-serif" 16 0 "none" "icons-topo/burg-ruine-64.png" 32 0 100000    
"historic" "castle" "black" 0 "name!ele" "red" 16 "sans-serif" 16 0 "none" "icons-topo/burg-64.png" 32 0 100000    
"historic" "monument" "black" 0 "none" "red" 12 "sans-serif" 16 0 "none" "icons-topo/denkmal-64.png" 32 0 50000    
"highway" "bus_station" "black" 0 "name" "black" 18 "sans-serif" 18 0 "none" "icons-topo/haltestelle-64.png" 40 0 50000    
"railway" "station" "black" 0 "name" "black" 18 "sans-serif" 18 0 "none" "icons-topo/haltestelle-64.png" 40 0 100000    
"railway" "halt" "black" 0 "name" "black" 16 "sans-serif" 16 0 "none" "icons-topo/haltestelle-64.png" 32 0 50000    
"site_type" "tumulus" "black" 0 "name" "black" 16 "sans-serif" 16 0 "none" "icons-topo/hgg-40.png" 20 0 50000    
"amenity" "parking" "black" 0 "none" "red" 16 "sans-serif" 0 0 "none" "icons-topo/parkplatz-40.png" 20 0 50000    
"COMMENT" "PLACES"                 
"place" "city" "black" 0 "name" "black" 60 "FreeSerif" 0 1 "City" "icons-topo/ort-4-64.png" 24 0 9999999    
"place" "town" "black" 0 "name" "black" 50 "FreeSerif" 0 1 "Town" "icons-topo/ort-3-64.png" 24 0 500000    
"place" "suburb" "black" 0 "name" "black" 40 "FreeSerif" 0 0 "none" "icons-topo/ort-2-64.png" 24 0 100000    
"place" "village" "black" 0 "name" "black" 40 "FreeSerif" 0 0 "none" "icons-topo/ort-2-64.png" 24 0 100000    
"place" "hamlet" "black" 0 "name" "black" 25 "FreeSerif" 0 0 "none" "icons-topo/ort-1-32.png" 12 0 100000    
"place" "locality" "black" 0 "name" "forestgreen" 25 "FreeSerif" 0 0 "none" "icons-topo/ort-0-32.png" 12 0 50000    
"SECTION" "WAYS" "color" "thickness" "DashStyle" "BorderColor" "BorderThickness" "fill" "label" "label-color" "label-size" "label-font" "label-offset" "Legend" "LegendLabel" "BaseLayer" "AreaIcon" "FromScale" "ToScale"
"highway" "motorway" "yellow" 4 "none" "firebrick" 4 0 "ref!name" "black" 16 "sans-serif" 3 1 "Motorway" 0 "none" 0 999999
"highway" "trunk" "yellow" 4 "none" "firebrick" 4 0 "ref!name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 999999
"highway" "motorway_link" "yellow" 4 "none" "firebrick" 3 0 "ref!name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 999999
"highway" "trunk_link" "yellow" 4 "none" "firebrick" 3 0 "ref!name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 999999
"highway" "primary" "orange" 5 "none" "black" 2 0 "ref!name" "black" 16 "sans-serif" 3 1 "Primary Road" 0 "none" 0 999999
"highway" "primary_link" "orange" 4 "none" "black" 2 0 "ref!name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 999999
"highway" "secondary" "gold" 5 "none" "black" 2 0 "ref!name" "black" 16 "sans-serif" 3 1 "Secondary Road" 0 "none" 0 100000
"highway" "secondary_link" "gold" 4 "none" "black" 2 0 "ref!name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 100000
"highway" "tertiary" "gold" 4 "none" "black" 2 0 "ref!name" "black" 16 "sans-serif" 3 1 "Tertiary Road" 0 "none" 0 100000
"highway" "tertiary_link" "gold" 4 "none" "black" 2 0 "ref!name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 100000
"highway" "residential" "white" 4 "none" "black" 1 0 "name" "black" 16 "sans-serif" 3 1 "Residential Road" 0 "none" 0 50000
"highway" "unclassified" "white" 4 "none" "black" 1 0 "name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 50000
"highway" "living_street" "white" 4 "none" "black" 1 0 "name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 50000
"highway" "pedestrian" "white" 4 "none" "black" 1 0 "name" "black" 16 "sans-serif" 3 0 "none" 0 "none" 0 50000
"highway" "service" "white" 3 "none" "black" 1 0 "name" "black" 16 "sans-serif" 3 1 "Service Road" 0 "none" 0 50000
"highway|tracktype" "track|grade1" "black" 4 "none" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Track Grade 1" 0 "none" 0 50000
"highway|tracktype" "track|grade3" "black" 4 "30,10,round" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Track Grade 3" 0 "none" 0 50000
"highway|tracktype" "track|grade4" "black" 4 "25,15,round" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Track Grade 4" 0 "none" 0 50000
"highway|tracktype" "track|grade5" "black" 4 "20,20,round" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Track Grade 5" 0 "none" 0 50000
"highway" "track" "black" 4 "35,5,round" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Track Grade 2" 0 "none" 0 50000
"bicycle" "designated" "black" 2 "none" "none" 0 0 "name" "black" 16 "sans-serif" -4 0 "none" 0 "none" 0 50000
"highway" "cycleway" "black" 2 "none" "none" 0 0 "name" "black" 16 "sans-serif" -4 0 "none" 0 "none" 0 50000
"highway|surface" "*|paved" "black" 2 "none" "none" 0 0 "name" "black" 16 "sans-serif" -4 1 "Paved Path" 0 "none" 0 50000
"highway" "path" "black" 2 "8,8,round" "none" 0 0 "name" "black" 16 "sans-serif" -4 1 "Unpaved Path" 0 "none" 0 50000
"highway" "footway" "black" 2 "8,8,round" "none" 0 0 "name" "black" 16 "sans-serif" -4 0 "none" 0 "none" 0 50000
"highway" "bridleway" "black" 2 "8,8,round" "none" 0 0 "name" "black" 16 "sans-serif" -4 0 "none" 0 "none" 0 50000
"highway" "steps" "black" 6 "3,4,butt" "none" 0 0 "name" "black" 16 "sans-serif" -4 1 "Steps" 0 "none" 0 50000
"highway" "track" "black" 2 "none" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Track" 0 "none" 50001 100000
"highway" "service" "black" 2 "none" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Service Road" 0 "none" 50001 100000
"highway" "residential" "white" 1 "none" "black" 1 0 "name" "black" 16 "sans-serif" -5 1 "Residential Road" 0 "none" 50001 100000
"highway" "unclassified" "white" 1 "none" "black" 1 0 "name" "black" 16 "sans-serif" -5 0 "none" 0 "none" 50001 100000
"highway" "pedestrian" "white" 1 "none" "black" 1 0 "name" "black" 16 "sans-serif" -5 0 "none" 0 "none" 50001 100000
"highway" "living_street" "white" 1 "none" "black" 1 0 "name" "black" 16 "sans-serif" -5 0 "none" 0 "none" 50001 100000
"highway" "*" "black" 2 "6,8,round" "none" 0 0 "name" "black" 16 "sans-serif" -5 1 "Path" 0 "none" 50001 100000
"railway" "disused" "white" 2 "30,30,butt" "grey" 2 0 "none" "black" 16 "sans-serif" -1 1 "Disused Railway" 1 "none" 0 100000
"railway" "abandoned" "white" 2 "30,30,butt" "grey" 2 0 "none" "black" 16 "sans-serif" -1 1 "Abandoned Railway" 1 "none" 0 100000
"railway" "platform" "black" 2 "none" "none" 0 0 "name" "black" 16 "sans-serif" -4 0 "none" 0 "none" 0 50000
"railway" "*" "white" 2 "30,30,butt" "black" 2 0 "none" "black" 16 "sans-serif" -1 1 "Railway" 1 "none" 0 100000
"route" "ferry" "blue" 2 "30,30,butt" "none" 0 0 "name" "blue" 16 "sans-serif" -3 1 "Ferry" 0 "none" 0 100000
"waterway" "stream" "deepskyblue" 2 "none" "none" 0 0 "name" "blue" 16 "sans-serif" -3 1 "Stream" 0 "none" 0 100000
"waterway" "drain" "deepskyblue" 2 "none" "none" 0 0 "name" "blue" 16 "sans-serif" -1 0 "none" 0 "none" 0 100000
"waterway" "canal" "deepskyblue" 5 "none" "none" 0 0 "name" "blue" 20 "sans-serif" -1 1 "Canal" 0 "none" 0 500000
"waterway" "river" "deepskyblue" 5 "none" "none" 0 0 "name" "blue" 20 "sans-serif" -1 1 "River" 0 "none" 0 500000
