ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE	TERRAIN	HYDRO
AA30079	REINA BEATRIX INTL		TNCA	N	WGE	WGE	N12300500	12.501389	W070005480	-70.015221	00060	A	W009358 0506	0707	Y		CI					200508		
AC44813	V C BIRD INTL		TAPA	N	NAS	WGE	N17081230	17.136749	W061473360	-61.792667	00062	A	W014259 0506	0649	Y		CI					200607		
AE01079	ARZANAH		OMAR	N	WGE	WGE	N24464990	24.780528	E052333580	52.559944	00015	D	E001459 0506	0547			PV					200602		Y
AE04602	AL HAMRA AUX		OMAH	N	WGE	WGE	N24042633	24.073981	E052274912	52.463644	00050	D	E001400 0506	0547			MI					200510		
AE05094	MINHAD AB		OMDM	N	WGE	WGE	N25013655	25.026819	E055215848	55.366244	00165	C	E001286 0506	0548			MI					200411		
AE05715	SHARJAH INTL		OMSJ	N	WGE	WGE	N25194287	25.328575	E055310174	55.517150	00111	B	E001307 0506	0548	Y		ML					200505		
AE19613	ABU DHABI INTL		OMAA	N	WGE	WGE	N24255870	24.432972	E054390410	54.651138	00088	A	E001275 0506	0548			CI					200608		
AE31044	AL DHAFRA		OMAM	N	WGE	WGE	N24145370	24.248249	E054325180	54.547722	00077	C	E001264 0506	0548			MI					200608		
AE37377	ZIRKU		OMAZ	N	WGE	WGE	N24514155	24.861542	E053044020	53.077833	00014	D	E001429 0506	0548			PV					200603		
AE52272	DUBAI INTL		OMDB	N	WGE	WGE	N25151000	25.252778	E055215200	55.364444	00062	A	E001315 0706	0548			CI					200609		
AE52385	YAS ISLAND		OM	OM10	WGE	WGE	N24170238	24.283994	E052344927	52.580353	00025	D	E001411 0506	0547			MI					200510		
AE56787	FUJAIRAH INTL		OMFJ	N	WGE	WGE	N25064401	25.112225	E056192627	56.323964	00152	A	E001231 0506	0548	Y		CI					200511		
AE68809	RAS AL KHAIMAH INTL		OMRK	N	WGE	WGE	N25364854	25.613483	E055561974	55.938817	00102	A	E001310 0506	0548	Y		CI					200608		
AE73364	DAS ISLAND		OMAS	N	WGE	WGE	N25084639	25.146219	E052522536	52.873711	00012	D	E001472 0506	0547			PV					200510		
AE76816	BATEEN		OMAD	N	WGE	WGE	N24254200	24.428333	E054272910	54.458084	00016	B	E001288 0506	0548			ML					200512		
AE80711	AL AIN INTL		OMAL	N	WGE	WGE	N24154200	24.261667	E055363300	55.609167	00869	A	E001191 0506	0548			CI					200511		
AE95262	ABU DHABI NORTHEAST		OM	OM11	WGE	WGE	N24310788	24.518856	E054584823	54.980064	00088	D	E001261 0506	0548			MI					200511		
AE97915	JEBEL DHANA		OMAJ	N	WGE	WGE	N24111474	24.187428	E052365040	52.614000	00043	D	E001399 0506	0547			PV					200509		
AF28606	HERAT		OAHR	N	WGE	WGE	N34123606	34.210017	E062134188	62.228300	03206	D	E002579 0506	0430			ML					200609		
AF39176	MAZAR I SHARIF		OAMS	N	WGE	WGE	N36422489	36.706914	E067123484	67.209678	01284	D	E003236 0506	0336			ML					200511		
AF50693	BAGRAM		OAIX	N	WGE	WGE	N34564610	34.946139	E069155390	69.264972	04895	C	E002420 0506	0431			AF					200606	Y	Y
AF60849	KANDAHAR		OAKN	N	WGE	WGE	N31302072	31.505756	E065505216	65.847822	03337	B	E001590 0506	0442			ML					200512		
AF75939	SHINDAND		OASD	N	WGE	WGE	N33232879	33.391331	E062153951	62.260975	03773	D	E002438 0506	0430	Y		ML					200511		
AF87064	JALALABAD		OAJL	N	WGE	WGE	N34235943	34.399842	E070295505	70.498625	01814	D	E002274 0506	0431			MI					200511		
AF92944	KONDUZ		OAUZ	N	WGE	WGE	N36395440	36.665111	E068543900	68.910833	01457	D	E003153 0506	0336	Y		ML					200513		
AF94313	KABUL INTL		OAKB	N	WGE	WGE	N34335707	34.565853	E069124438	69.212328	05877	B	E002356 0506	0431			ML					200513	Y	
AF94325	SHEBERGHAN		OASG	N	WGE	WGE	N36450282	36.750783	E065544739	65.913164	01053	D	E003299 0506	0337			MI					200511		
AF94326	MAIMANA		OAMN	N	WGE	WGE	N35555084	35.930789	E064453930	64.760917	02743	D	E003188 0506	0430			MI					200511		
AG00060	BATNA		DABT	N	WGE	WGE	N35450758	35.752106	E006183092	6.308589	02697	A	E000280 0506	0422			UN					200608		
AG00062	ILLIZI		DA	DA10	WGE	WGE	N26342484	26.573567	E008290116	8.483656	01778	D	E000240 0506	0540			CI					200405		
AG03193	SOUMMAM		DAAE	N	WGE	WGE	N36424319	36.711997	E005041172	5.069922	00020	A	E000133 0506	0345			CI					200608		
AG10462	ANNABA		DABB	N	WGE	WGE	N36492001	36.822225	E007483300	7.809167	00016	A	E000474 0506	0345			CI					200113		
AG12605	ZENATA		DAON	N	WGE	WGE	N35010000	35.016667	W001270000	-1.450000	00814	A	W001231 0506	0421			CI					200304		
AG14643	TISKA		DAAJ	N	WGE	WGE	N24173396	24.292767	E009270880	9.452444	03176	A	E000221 0506	0540	Y		CI					200304		
AG16901	BECHAR		DAOR	N	WGE	WGE	N31384468	31.645744	W002161150	-2.269861	02661	B	W001385 0506	0453	Y		ML					200313		
AG17978	BOUFARIK		DAAK	N	WGE	WGE	N36324500	36.545834	E002523400	2.876111	00335	C	W000168 0506	0346			MI					200606		
