ARPT_IDENT	HIGH_IDENT	LOW_IDENT	HIGH_HDG	LOW_HDG	LENGTH	RWY_WIDTH	SURFACE	PCN	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HE_TDZE	HE_DT	HE_DT_ELEV	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	HLGT_SYS_4	HLGT_SYS_5	HLGT_SYS_6	HLGT_SYS_7	HLGT_SYS_8	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LE_TDZE	LE_DT	LE_DT_ELEV	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	LLGT_SYS_4	LLGT_SYS_5	LLGT_SYS_6	LLGT_SYS_7	LLGT_SYS_8	HE_TRUE_HDG	LE_TRUE_HDG	CLD_RWY	HELAND_DIS	HE_TAKEOFF	LELAND_DIS	LE_TAKEOFF	CYCLE_DATE
AA30079	29	11	292.5	112.5	09000	00148	ASP	048RAXT	N12295420	12.498389	W070001070	-70.002972	58.0	-0.5	58.0		U	05	50							N12301580	12.504389	W070013889	-70.027469	9.0	0.5	9.0		U	05	34	50						283.6	103.6		09000	09185	09000	09185	200209
AC44813	25	07	253.0	73.0	09003	00148	ASP		N17083565	17.143236	W061465397	-61.781658	20.0	0.4	20.0		U	05	50							N17074886	17.130239	W061481320	-61.803667	54.0	-0.4	62.0	0656	U	05	23	50						238.4	58.4		09003	09200	08347	09003	200402
AE01079	31	13	309.0	129.0	03438	00072	MAC		N24463880	24.777444	E052334990	52.563861	U	U	U	0289	U	01	07							N24470100	24.783611	E052332170	52.556028	U	U	U	0351	U	01	07							311.0	131.0		03149	03438	03087	03438	200410
AE04602	35	17	348.0	168.0	08205	00148	ASP		N24034634	24.062872	E052275705	52.465847	U	U	U		U									N24050632	24.085089	E052274119	52.461442	U	U	U		U									350.0	170.0		08205	08560	08205	08560	200403
AE05094	27	09	268.0	88.0	12970	00148	ASP		N25013780	25.027167	E055230880	55.385778	U	U	U		U	03	50							N25013557	25.026547	E055204779	55.346608	U	U	U		U	03	50							269.0	89.0		12970	13954	12970	13954	200501
AE05715	30	12	301.0	121.0	13320	00148	ASP	050RAWU	N25190779	25.318831	E055320307	55.534186	111.0	-0.1	U	0984	U	02	03	04	05	09	10	50		N25201803	25.338342	E055300090	55.500250	92.0	0.1	U		U	02	04	05	09	11	50			302.0	122.0		12336	13808	13320	13808	200213
AE19613	31	13	307.0	127.0	13452	00148	ASP	080FBWT	N24251815	24.421708	E054400177	54.667158	88.0	0.0	88.0		U	02	03	04	05	09	10	50		N24263980	24.444389	E054380674	54.635206	82.0	0.0	82.0		U	02	04	05	09	11	50			308.0	128.0		13452	13632	13452	13648	200608
AE31044	31L	13R	306.0	126.0	12012	00150	ASP		N24131556	24.220989	E054335578	54.565494	60.0	U	U		U	02	03	04	05	11	50			N24142703	24.240842	E054321220	54.536722	60.0	U	U		U	02	03	04	05	11	50			307.0	127.0		12012	12996	12012	12996	200608
AE31044	31R	13L	306.0	126.0	12012	00150	ASP	069RAWT	N24141800	24.238333	E054334360	54.562111	67.0	0.1	67.0		U	02	05	11	50					N24152940	24.258167	E054320000	54.533333	77.0	-0.1	77.0		U	05	11	50						307.0	127.0		12012	13012	12012	13012	200608
AE37377	31	13	311.0	131.0	03937	00098	ASP		N24512840	24.857889	E053045590	53.082194	10.0	0.0	U		U	07	09	43						N24515470	24.865194	E053042450	53.073472	10.0	0.0	U		U	07	09	43						313.0	133.0		03937	03937	03937	03937	200306
AE52272	30L	12R	300.0	120.0	13124	00151	ASP	065FBXU	N25143596	25.243322	E055225347	55.381519	62.0	-0.4	U	2953	22.0	02	03	04	05	09	11			N25154367	25.262131	E055205126	55.347572	13.0	0.4	U	0394	13.0	02	03	04	05	09	11	50		301.0	121.0		10171	13321	12730	13321	200608
AE52272	30R	12L	300.0	120.0	13124	00197	ASP	122FBXT	N25145173	25.247703	E055225134	55.380928	35.0	-0.2	U		U	02	03	04	05	09	11	50	49	N25155938	25.266494	E055204928	55.347022	13.0	0.2	U	1312	13.0	02	03	04	05	09	11	50	49	302.0	122.0		13124	13519	11812	13519	200410
AE52385	31	13	310.0	130.0	08778	00115	ASP		N24163301	24.275836	E052352430	52.590083	U	U	U		U									N24173169	24.292136	E052341425	52.570625	U	U	U		U									312.0	132.0		08778	08778	08778	08778	200307
AE56787	29	11	291.0	111.0	12303	00148	ASP	100FAWU	N25062037	25.105658	E056202905	56.341403	49.0	0.8	73.0		U	11	50							N25070687	25.118575	E056182531	56.307031	152.0	-0.8	U	2296	134.0	34	50							292.4	112.4		12303	12631	10007	12631	200404
